adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,7,value,0.787272727272727,input,0.021250321084632685,0.24175088955029561,0.058160063751576473,0.036909742666943787,"[0.9375, 0.87871205636399552, 0.86073615592282871]",2,"cute little ,cute little ,cute little ,cute little ,cute little ,cute red ,cute red ,","cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
chinese,3,nationality,0.12,input,-0.094826585835392094,0.287109375,0.005703733726347953,0.10053031956174005,"[0.125, 0.0019085225403093122, 0.03606449489963804]",2,"sweet chinese ,nice chinese ,little chinese ,","chinese new ,little chinese ,beautiful chinese ,"
yellow,89,color,0.343333333333333,sub,-0.11727045244000124,0.00010558507996260429,0.014203903213251889,0.13147435565325313,"[0.027777777777777776, 0.10756839512747121, 0.23763562537442587]",2,"nice yellow ,strange yellow ,big yellow ,blue yellow ,nice yellow ,little yellow ,bright yellow ,dirty yellow ,shiny yellow ,clear yellow ,long yellow ,small yellow ,long yellow ,tiny yellow ,strong yellow ,dark yellow ,giant yellow ,hard yellow ,tiny yellow ,golden yellow ,small yellow ,bright yellow ,huge yellow ,new yellow ,soft yellow ,bright yellow ,old yellow ,little yellow ,sharp yellow ,big yellow ,tiny yellow ,brilliant yellow ,flat yellow ,beautiful yellow ,long yellow ,bright yellow ,bright yellow ,hard yellow ,light yellow ,yellow brown ,last yellow ,giant yellow ,pale yellow ,golden yellow ,large yellow ,small yellow ,bright yellow ,thick yellow ,little yellow ,bright yellow ,bright yellow ,yellow plastic ,big yellow ,thick yellow ,famous yellow ,long yellow ,bright yellow ,empty yellow ,dirty yellow ,huge yellow ,early yellow ,large yellow ,dry yellow ,little yellow ,long yellow ,bright yellow ,pale yellow ,soft yellow ,pale yellow ,ancient yellow ,huge yellow ,long yellow ,large yellow ,new yellow ,pale yellow ,thin yellow ,pale yellow ,brilliant yellow ,big yellow ,big yellow ,heavy yellow ,long yellow ,bright yellow ,large yellow ,bright yellow ,bright yellow ,gorgeous yellow ,bright yellow ,little yellow ,","yellow green ,yellow green ,big yellow ,plain yellow ,yellow green ,yellow green ,bright yellow ,big yellow ,little yellow ,big yellow ,"
awful,35,value,0.641666666666667,input,0.34168171504563988,0.90149065676068452,0.40904527401758778,0.067363558971947901,"[0.9852941176470589, 0.88011367391448025, 0.68019298129667571]",2,"awful long ,awful long ,awful long ,awful dry ,awful last ,awful long ,awful grand ,awful grand ,awful awful ,awful large ,awful long ,awful long ,awful long ,awful long ,awful long ,awful little ,awful little ,awful quiet ,awful quiet ,awful long ,awful old ,awful long ,awful awful ,awful long ,awful long ,awful long ,awful long ,awful long ,awful old ,awful long ,awful long ,awful long ,awful brown ,","awful long ,awful brown ,awful bad ,awful bad ,awful long ,awful big ,awful hard ,"
bright,98,color,0.464,sub,-0.17742320570532166,0.0087448559670781963,0.25615868145882664,0.43358188716414831,"[0.9444444444444444, 0.10709763412195934, 0.39546817727424194]",2,"bright blue ,bright blue ,bright red ,bright white ,nice bright ,nice bright ,nice bright ,big bright ,bright new ,bright polar ,bright new ,nice bright ,bright red ,bright pink ,bright yellow ,bright red ,bright white ,bright blue ,bright new ,bright red ,bright new ,bright new ,bright old ,bright red ,bright new ,bright new ,bright purple ,bright red ,bright new ,bright yellow ,bright blue ,bright blue ,bright brown ,bright red ,bright green ,bright blue ,bright yellow ,bright red ,bright green ,bright blue ,bright yellow ,bright new ,bright new ,bright blue ,bright red ,bright blue ,bright red ,bright red ,bright yellow ,bright red ,bright green ,bright green ,bright blue ,bright red ,bright wooden ,bright red ,bright blue ,bright yellow ,bright red ,bright red ,bright red ,bright blue ,bright yellow ,bright yellow ,bright blue ,bright red ,bright red ,bright red ,bright yellow ,bright blue ,bright blue ,bright red ,bright yellow ,bright red ,bright red ,bright red ,bright new ,bright green ,bright red ,bright red ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright red ,bright yellow ,bright red ,bright red ,bright yellow ,bright green ,bright yellow ,bright red ,bright red ,bright red ,bright yellow ,","big bright ,big bright ,bright yellow ,"
slow,2,speed,0.504285714285714,sub,-0.079752582746594691,0.5,0.4879252484042903,0.56767783115088499,"[0.5, 0.5120747515957097, 0.43232216884911495]",2,"slow just ,heavy slow ,","nice slow ,"
just,3,value,0.60125,sub,-0.17770552696626601,0.00036722791992360726,0.002228124415818719,0.17993365138208472,"[0.125, 0.8785126686410003, 0.62244159262915433]",2,"french just ,slow just ,odd just ,","alright just ,blue just ,just young ,okay just ,just young ,just young ,just young ,just young ,just young ,okay just ,okay just ,okay just ,just young ,"
royal,N/A,human,0.4925,N/A,0.0,0.5,0.5,0.5,not in input,2,,"royal old ,"
young,35,age,0.551538461538462,lexical,0.032121689028104992,0.018504929532551437,0.032444918861037064,0.00032322983293206931,"[0.39705882352941174, 0.36587138986187295, 0.5612319080034367]",2,"good young ,young exciting ,nice young ,new young ,new young ,young black ,good young ,young young ,stupid young ,new young ,new young ,young young ,old young ,small young ,young black ,nice young ,nice young ,new young ,young new ,exciting young ,nice young ,nice young ,nice young ,nice young ,nice young ,good young ,young hard ,young green ,young red ,young new ,young new ,young green ,young brown ,","poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,just young ,just young ,just young ,just young ,just young ,just young ,just young ,young last ,young last ,young last ,"
late,8,temporal,0.422307692307692,input,-0.0024434813006652435,0.29788757966605639,0.00012749035326424513,0.0025709716539294887,"[0.9444444444444444, 0.21356601909779388, 0.33605531774777742]",2,"late early ,late last ,late last ,late next ,late last ,late last ,late last ,late last ,","late last ,late last ,late last ,pretty late ,late last ,late last ,late last ,late last ,"
